,sensor,sensor_conc,quencher,quencher_ul,quencher_conc_uM,raw_filename,csv_filename,lambda_ex_nm,lambda_em_nm
0,RTDP,40 uM,PYO,0,0.0,RTDP.2_alone_1.ns1,RTDP+0ulPYO.csv,355,650
1,RTDP,40 uM,PYO,2,7.49,RTDP.2_+2ulPYO_0.ns1,RTDP+2ulPYO.csv,355,650
2,RTDP,40 uM,PYO,20,74.26,RTDP.2_+20ulPYO_0.ns1,RTDP+20ulPYO.csv,355,650
3,RTDP,40 uM,PYO,40,147.06,RTDP.2_+40ulPYO_0.ns1,RTDP+40ulPYO.csv,355,650
4,RTDP,40 uM,PYO,60,218.45,RTDP.2_+60ulPYO_0.ns1,RTDP+60ulPYO.csv,355,650
5,O2NS,10x diluted,PYO,0,0.0,O2NSalone_3.ns1,O2NS+0ulPYO.csv,355,650
6,O2NS,10x diluted,PYO,2,7.49,O2NS+2ulPYO_0.ns1,O2NS+2ulPYO.csv,355,650
7,O2NS,10x diluted,PYO,20,74.26,O2NS+20ulPYO_0.ns1,O2NS+20ulPYO.csv,355,650
8,O2NS,10x diluted,PYO,40,147.06,O2NS+40ulPYO_0.ns1,O2NS+40ulPYO.csv,355,650
9,O2NS,10x diluted,PYO,60,218.45,O2NS+60ulPYO_0.ns1,O2NS+60ulPYO.csv,355,650
10,OXNANO,50 ug/ml,PYO,0,0.0,OXNANOalone_5.ns1,OXNANO+0ulPYO.csv,355,750
11,OXNANO,50 ug/ml,PYO,2,7.49,OXNANO+2ulPYO_0.ns1,OXNANO+2ulPYO.csv,355,750
12,OXNANO,50 ug/ml,PYO,20,74.26,OXNANO+20ulPYO_0.ns1,OXNANO+20ulPYO.csv,355,750
13,OXNANO,50 ug/ml,PYO,40,147.06,OXNANO+40ulPYO_0.ns1,OXNANO+40ulPYO.csv,355,750
14,OXNANO,50 ug/ml,PYO,60,218.45,OXNANO+60ulPYO_0.ns1,OXNANO+60ulPYO.csv,355,750
